OTU	Status_in_Hpa_inoculated
ccc33d62630743cef3119e9ab322a4c3	Both_depleted
9c970d28cf4003b50a22edc9033f60ff	Both_depleted
e311d3f69c3425c96a683f6f1f6810d0	Both_depleted
99fa64f7498b50b377f189fb624f3cc4	Both_depleted
aa8cde7abeed8febe65139495b693c9b	Both_depleted
802b11aa2dbebbc2c11efaab2e56df80	Both_depleted
8b497f91df99572868e65f31f0747b90	Both_depleted
9e22599af19283811a2d68e84879efe3	Both_depleted
b74ef54ae169ca2de05b1554a4ff5cac	Both_depleted
7ee312b23600d406732d329746a4d9bf	Both_depleted
fe6b986f51c658cd301857a00fb2c3a8	Both_depleted
a84f42c3cbe7d0f1da8107579d1c1045	Both_depleted
4ea998d26fdcc1452195e8f666349030	Both_depleted
278ccd85dec11b4a8be0b84ffdc6ec9f	Both_depleted
2865b374e13e9ea92fcf821c97c30dec	Both_depleted
ce6ca56f80d5857e1c95e72b64d4086c	Both_depleted
9071d44644bd8ed2410445cc7937dddf	Both_depleted
4d4093e2fc1402de5b4614d2fd6ea06f	Both_depleted
f9f5c0dd23963af47fd6e9474e9216cc	Both_depleted
3c2d07a0027b1e218ba04d787152b160	Both_depleted
e0a2c0c7fff84f4228d9c0d977fce423	Both_depleted
7855d323d4534b701d14f9257cb0e0bb	Both_depleted
17dc4f1eb9fe032f58585c5e28ffd097	Both_depleted
fc672ff88dc475b143532167712d4329	Both_depleted
dc3e3e565592a4ab3635e367b02e727f	Both_depleted
6a8cd212906e0a5fd451e76aa130f625	Both_depleted
0fed622c41a523ee37f67ec362f79067	Both_depleted
a82de5a230122258d3ec5a66fd1928fb	Both_depleted
b422e7b19e5f1e8916b968063fd77dfc	Both_depleted
70a06186aa6c679e9d9b9e2856362413	Both_depleted
74299ce746cace16b4c2c28bc51f009f	Both_depleted
de738fde9b004019c2045ef1ae7e0be0	Both_depleted
fb0d0607ed837f479dd51ac7b044a0d7	Both_depleted
53fc8be8606733aee193b6f1fec96462	Both_depleted
32b0473b947c22dbecbbe17a70fdb695	Both_depleted
e54495cdcb6b8790429166ee7477a81f	Both_depleted
e5281735e0a80bf2f6195dab6977e425	Both_depleted
52d6fae91fe613402b5eb064db422d2a	Both_depleted
0a7a72cf0cbf9f815d62c85dfa0b269a	Both_depleted
bd23fd9caab6dc55d470a77f4954e136	Both_depleted
ac6807c03dc6ed5ec1b3a134a9e08cc9	Both_depleted
87b6c1079175fe5e7abbf4161f253c02	Both_depleted
bcc71cc1efae148c0f7572338d3e2f86	Both_depleted
d33358c7775d42fb3b1582ded3ad1181	Both_depleted
6ce35ed9c44a62a27bdcdd6f9debd13a	Both_depleted
82e86a6e34ce7623f14b338268dced5d	Both_depleted
12c9caef39ed9409472f43b69f5026d4	Both_depleted
07fdc12a7e4365b04422b66434804cb7	Both_depleted
95cdb423f95736aa7baa6957c7c2eaa1	Both_depleted
3624819153c82112e194f39315bfcda0	Both_depleted
e5d2897df2f464827244b871d67ee050	Both_depleted
bd6840fec7b50d514875f35405ec8b7f	Both_depleted
2ca093c5a2516bb2a4498afaa1e48848	Both_depleted
02edf136518da3052bdddedaae969536	Other_depleted
aa36d9443027f0afe598fb1fa972ba35	Other_depleted
8e3352b6783f4a17a5c5354cb521272c	Other_depleted
1015386d123f77311c8143526806af2c	Other_depleted
5efc3d127df29a6f2e976cae828e203b	Other_depleted
c6aa0fa3e9c050aaecb4b58804e10618	Other_depleted
6ff1d3a16ed51c51fef5b27e124539ed	Other_depleted
c9f2e2af7eb6322445445a4050d627b2	Other_depleted
fb830a0029ddc33879db95290710436e	Other_depleted
1bc8c1807a800c2c8220ca1a13e4fdb9	Other_depleted
258888d59976d9f8e12b0e5bb78be7ee	Other_depleted
6c8e8f15c8b62edfc17dd5fc30ecd8cd	Other_depleted
d2ec35c801358dc8c4298cf0c57838de	Other_depleted
c504f948f6e1d3fbc4e4191a07391e43	Other_depleted
780c053fccd95a812072eb6f59e52026	Other_depleted
47082eb92759c2179725fe69f11672c5	Other_depleted
70f4e1161cb0f9937ee73a1ef342cf8a	Other_depleted
9347c6cdbdf51ad268572e45f0d8ca23	Other_depleted
712570c459ab238706584ba8f75ba2ff	Other_depleted
8144e3f5463bf440bdbdd71684a7b0b2	Other_depleted
97cee84974556fee7ed068eed611fe87	Other_depleted
f80670e4b3210b28e4a2ddbe1f92ba87	Other_depleted
c1d8f746065975c3dc82d29b9eee6f45	Other_depleted
d90d126c93bd939d4800355fc1921d98	Other_depleted
da967222d4974b81b78ca79dcab227a0	Other_depleted
f42514bb90dfa70c17b174bd15b78158	Other_depleted
9cce057c75c4bf8792364e8776ec3161	Other_depleted
da7566ee3182921a780616cb5119c31c	Other_depleted
619aaddca1bc37375a7dc661cf75f626	Other_depleted
2c1ee711b18969eb7e426dcf96038b52	Other_depleted
7b361820964e8c6ced5aec81f54bcfea	Other_depleted
a9252684324d6e4a6ec7698d572c3ec4	Other_depleted
e84f6c58b433967ccd2a68178d62e938	Other_depleted
5e37bc937e93932df2fc004907a946d5	Other_depleted
7dd67f14700d1ab39f40659e5d0e6d0e	Other_depleted
ea61b233d2a6f31cac48d4aafb2c1dd5	Other_depleted
95f73bcf51a9a006f2e046a4fada85a2	Other_depleted
1cab2497e1d81c8e71a0a4d6f665aa42	Other_depleted
3e288b882827046d6db088f9a200cc8d	Other_depleted
b767acee7d4dc333c0e60e2fa99a527b	Other_depleted
87f0b37a85f787c96f45695e782f92a4	Other_depleted
132398ae30585fc78b3f5712f4c1f5ed	Other_depleted
8b6d23e4eea012236b10b5b3bde5c3b1	Other_depleted
52ec97b3f172a4212493adf8787a20ec	Other_depleted
fcc5096bfd4bede565ea8da830b3a1dc	Other_depleted
0a5f6d98eb6f789eba2bd6be1cbcec89	Other_depleted
235c42b49271bd7268fcad55de33b53e	Other_depleted
ab9fa8be06158c76351c13f818950d62	Other_depleted
a1067078973548ced03d393dea1ab84a	Other_depleted
