OTU	Status	Taxonomy
f31095b9d4895881cd651bddd08319e5	Enriched	"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;uncultured"
419363d6c01e0530014c2969b7098bbe	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis"
f2a1b43875772d62233c6d85a595d843	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter"
a40651859fbc083e4c97aaf60b733a63	Enriched	"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae"
2569b4c4cad75aecc852532bc6bd3c10	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium"
973cdc59ecf70e935e7d3fdbc87ee110	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"
d96e0c0e6f1d9a519220e8cd2179c476	Enriched	"Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter"
f96ada7c4859c6238d0429cecde2f0be	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium"
57b1624fb8fa7f753961385792b49ba1	Enriched	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Ambiguous_taxa"
97d635d2b73945d8fdddc2841b29f8b9	Enriched	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Ambiguous_taxa"
6f3c989491b25f70ae1e1b73b458ec7f	Enriched	"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Herbiconiux"
15da8b3417459a1a66342300e6968701	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium"
609fb8ec7b5ec11b9cd0a6c8984dd63a	Enriched	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum"
