ID	Sample	Treatment	Generation	Treatment_generation_1	Treatment_generation_2	Sample_Type	DNA_concentration	post_cutadapt	Phenotype	HAM_co_inoculated	Diseased
R-N-G1-6	R-N-G1-6	Hpa	Generation_1	Hpa	not_applicable	Rhizosphere	20.3	124847	not_applicable	Yes	yes
R-N-G1-7	R-N-G1-7	Hpa	Generation_1	Hpa	not_applicable	Rhizosphere	27.7	133506	not_applicable	Yes	yes
R-N-G1-8	R-N-G1-8	Hpa	Generation_1	Hpa	not_applicable	Rhizosphere	26.4	98364	not_applicable	Yes	yes
R-N-G1-9	R-N-G1-9	Hpa	Generation_1	Hpa	not_applicable	Rhizosphere	30.4	114083	not_applicable	Yes	yes
R-NG-2-1	R-NG-2-1	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	28.1	168537	Legacy	Yes	yes
R-NG-2-10	R-NG-2-10	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	26.8	130103	Legacy	Yes	yes
R-NG-2-2	R-NG-2-2	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	23.9	202250	Legacy	Yes	yes
R-NG-2-3	R-NG-2-3	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	26.6	143431	Legacy	Yes	yes
R-NG-2-4	R-NG-2-4	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	25.1	132169	Legacy	Yes	yes
R-NG-2-5	R-NG-2-5	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	29.5	161225	Legacy	Yes	yes
R-NG-2-6	R-NG-2-6	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	24.9	162063	Legacy	Yes	yes
R-NG-2-7	R-NG-2-7	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	26.4	140207	Legacy	Yes	yes
R-NG-2-8	R-NG-2-8	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	14.3	196203	Legacy	Yes	yes
R-NG-2-9	R-NG-2-9	Hpa_GnoHpa	Generation_2	Hpa	GnoHpa	Rhizosphere	23.6	164000	Legacy	Yes	yes
R-NM-2-1	R-NM-2-1	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	25.3	187637	not_applicable	Yes	yes
R-NM-2-10	R-NM-2-10	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	22.7	196016	not_applicable	Yes	yes
R-NM-2-2	R-NM-2-2	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	23.1	156760	not_applicable	Yes	yes
R-NM-2-3	R-NM-2-3	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	20.4	163220	not_applicable	Yes	yes
R-NM-2-4	R-NM-2-4	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	30.4	187010	not_applicable	Yes	yes
R-NM-2-5	R-NM-2-5	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	30.3	174283	not_applicable	Yes	yes
R-NM-2-6	R-NM-2-6	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	27.6	169621	not_applicable	Yes	yes
R-NM-2-7	R-NM-2-7	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	26.2	207623	not_applicable	Yes	yes
R-NM-2-8	R-NM-2-8	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	20.6	259231	not_applicable	Yes	yes
R-NM-2-9	R-NM-2-9	Hpa_Mock	Generation_2	Hpa	Mock	Rhizosphere	20.1	226131	not_applicable	Yes	yes
R-NN-2-1	R-NN-2-1	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	22.9	187128	Legacy	Yes	yes
R-NN-2-10	R-NN-2-10	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	23.7	194277	Legacy	Yes	yes
R-NN-2-2	R-NN-2-2	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	19.3	231187	Legacy	Yes	yes
R-NN-2-3	R-NN-2-3	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	22.6	223342	Legacy	Yes	yes
R-NN-2-4	R-NN-2-4	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	25.6	171807	Legacy	Yes	yes
R-NN-2-5	R-NN-2-5	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	18	189040	Legacy	Yes	yes
R-NN-2-6	R-NN-2-6	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	24.3	149039	Legacy	Yes	yes
R-NN-2-7	R-NN-2-7	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	25	129075	Legacy	Yes	yes
R-NN-2-8	R-NN-2-8	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	20.6	167633	Legacy	Yes	yes
R-NN-2-9	R-NN-2-9	Hpa_Hpa	Generation_2	Hpa	Hpa	Rhizosphere	21.2	138009	Legacy	Yes	yes
S-B1	S-B1	Bulk	Generation_1	Bulk	Bulk	Soil	33.1	129669	not_applicable	NA	no
S-B2	S-B2	Bulk	Generation_1	Bulk	Bulk	Soil	34.1	123024	not_applicable	NA	no
S-B-2-1	S-B-2-1	Bulk	Generation_2	Bulk	Bulk	Soil	46.9	142087	not_applicable	NA	no
S-B-2-2	S-B-2-2	Bulk	Generation_2	Bulk	Bulk	Soil	38.6	200939	not_applicable	NA	no
S-B-2-3	S-B-2-3	Bulk	Generation_2	Bulk	Bulk	Soil	49	149955	not_applicable	NA	no
S-B-2-4	S-B-2-4	Bulk	Generation_2	Bulk	Bulk	Soil	39.5	144745	not_applicable	NA	no
S-B-2-5	S-B-2-5	Bulk	Generation_2	Bulk	Bulk	Soil	43.8	145605	not_applicable	NA	no
S-B-2-6	S-B-2-6	Bulk	Generation_2	Bulk	Bulk	Soil	44.1	131534	not_applicable	NA	no
S-B-2-7	S-B-2-7	Bulk	Generation_2	Bulk	Bulk	Soil	46.5	197485	not_applicable	NA	no
S-B-2-8	S-B-2-8	Bulk	Generation_2	Bulk	Bulk	Soil	39.4	171685	not_applicable	NA	no
S-B-2-9	S-B-2-9	Bulk	Generation_2	Bulk	Bulk	Soil	45.2	192505	not_applicable	NA	no
S-B3	S-B3	Bulk	Generation_1	Bulk	Bulk	Soil	39.2	97888	not_applicable	NA	no
S-B4	S-B4	Bulk	Generation_1	Bulk	Bulk	Soil	51.1	174999	not_applicable	NA	no
S-B5	S-B5	Bulk	Generation_1	Bulk	Bulk	Soil	39.8	182992	not_applicable	NA	no
S-B6	S-B6	Bulk	Generation_1	Bulk	Bulk	Soil	42.8	177434	not_applicable	NA	no
S-B7	S-B7	Bulk	Generation_1	Bulk	Bulk	Soil	31.8	180323	not_applicable	NA	no
S-B8	S-B8	Bulk	Generation_1	Bulk	Bulk	Soil	44.2	222871	not_applicable	NA	no
S-B9	S-B9	Bulk	Generation_1	Bulk	Bulk	Soil	28.6	197471	not_applicable	NA	no
