ID	Sample	Treatment	Generation	Treatment_generation_1	Treatment_generation_2	Sample_Type	DNA_concentration	post_cutadapt	Hpa	Hpa_factor	Legacy	Legacy_strict	GnoHpa
S-B-2-4	S-B-2-4	Bulk	Generation_2	NA	NA	Soil	39.5	144745	0	Other	0	0	0
S-B-2-5	S-B-2-5	Bulk	Generation_2	NA	NA	Soil	43.8	145605	0	Other	0	0	0
S-B-2-6	S-B-2-6	Bulk	Generation_2	NA	NA	Soil	44.1	131534	0	Other	0	0	0
S-B-2-7	S-B-2-7	Bulk	Generation_2	NA	NA	Soil	46.5	197485	0	Other	0	0	0
S-B-2-8	S-B-2-8	Bulk	Generation_2	NA	NA	Soil	39.4	171685	0	Other	0	0	0
S-B-2-9	S-B-2-9	Bulk	Generation_2	NA	NA	Soil	45.2	192505	0	Other	0	0	0
S-B3	S-B3	Bulk	Generation_1	NA	NA	Soil	39.2	97888	0	Other	0	0	0
S-B4	S-B4	Bulk	Generation_1	NA	NA	Soil	51.1	174999	0	Other	0	0	0
S-B5	S-B5	Bulk	Generation_1	NA	NA	Soil	39.8	182992	0	Other	0	0	0
S-B6	S-B6	Bulk	Generation_1	NA	NA	Soil	42.8	177434	0	Other	0	0	0
S-B7	S-B7	Bulk	Generation_1	NA	NA	Soil	31.8	180323	0	Other	0	0	0
S-B8	S-B8	Bulk	Generation_1	NA	NA	Soil	44.2	222871	0	Other	0	0	0
S-B9	S-B9	Bulk	Generation_1	NA	NA	Soil	28.6	197471	0	Other	0	0	0
