Feature_ID	Taxon	Consensus
02392c7a89d4996a32ab4f7357bf0e88	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	0.7
024c64ee9f5e7ff29692f287b073a12f	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;uncultured;uncultured_bacterium	0.8
028480735b00a8cfcbed60bfce679d22	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SM2D12;uncultured_bacterium;uncultured_bacterium	0.8
0269d03860e5b7c15489e10237786253	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	1.0
02b3eea3649a55132acf6af2e3064e04	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Terriglobus	0.9
02e84d51b05421f4b1184a13c262e25f	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;DA101_soil_group;uncultured_bacterium;uncultured_bacterium	0.7
02bf73aaf597433dea8d339ac0ae36a4	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured	1.0
024c99a29d21a318b73fad9f020c42ae	Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84	1.0
030573cf66d43a8902cd582ec431108a	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	1.0
0310d2cc55904d819c3e6be052e5c4ca	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Variibacter	0.7
02ff4ef989aa30e7cc491fac31751d02	Bacteria;Actinobacteria;Actinobacteria;Frankiales	0.8
031d4cc75b89f479f3184cf32ac86440	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	1.0
034d9f530e1c4555dd61bdca23c850dd	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae	1.0
0362a460ea7d3fdd46a34b988ff7bfb0	Bacteria;Acidobacteria;Holophagae;Subgroup_7;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	0.8
037f2214ce634fc147e55f9081dff583	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Pirellula;uncultured_bacterium	0.8
0377cb22e3b599babb0d0bfd18c4f602	Bacteria;Chloroflexi;KD4-96;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	0.7
03ad81123e4ac06141885ad9742831b1	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;KF-JG30-B3;uncultured_bacterium;uncultured_bacterium	0.7
03847a8ad8c9acbd1bf75deecd50145b	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	1.0
024198b9f9a727f17c4d38d799453c73	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus	1.0
03b93d76758970b1698199480e1e8dd1	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora	1.0
03cae6010709729564db7a14c4d65108	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Acidobacterium	0.9
03cc1998d0804bc552b0d471a9879ec2	Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae;Nocardia	1.0
03d85ba0601f47aca5feb01ef6c9f403	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Elev-16S-1332;uncultured_bacterium;uncultured_bacterium	0.7
03d2fc52fa42c12ddcf758c0eadbc206	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Elev-16S-1332;uncultured_bacterium;uncultured_bacterium	1.0
041a8ee122bb4d20a7c1f8cd777fd4a3	Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	0.8
03d9ca225a3d3f6acaf88b36a51fe420	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	1.0
03ebce6fe4e546b04ca9382d63b56d5d	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes	1.0
042a874d84b5fcbaee5db0f576de1147	Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales;DA101_soil_group;uncultured_bacterium;uncultured_bacterium	0.8
04204162ce57a4fd1c2ff47fad766363	Bacteria;Actinobacteria;Actinobacteria;Frankiales	1.0
03e9b40e9804627198637007c8122fe8	Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinoallomurus	1.0
044d65585aaaa17e102c286272c7be4b	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;uncultured_bacterium	0.6
043aa26f1ec93417b519ab51d8276dc6	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillales_Incertae_Sedis;Reyranella	1.0
0452855afc05e514515351d656f28db3	Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis	1.0
0452e450fcd8743984221bcb9a6fa363	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	0.8
0451eb05161fc41c27929376c390b01f	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	1.0
04787216fb625ab848853923e28cf6a3	Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;TM146	0.9
047f2f16fb0696bbf3b273195275b5c7	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured	1.0
04970cbf567613d2f4e34fcd5634e180	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	1.0
04b8024ccdb1cfbd42f872e1bdff9b5e	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	1.0
04a6593bbabe5a63b0c19e5757426a60	Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Ambiguous_taxa	0.7
04e3976efe2e036442716a4e722bbb63	Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia	0.8
05142cfb1c2350790165e0a806df94bb	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae	1.0
0518ad6912988dc97b487e5b10d3f151	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Variibacter	0.6
051fec0abd38174ff064f32b29d8dd29	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured_bacterium	0.7
053849356424076a544204c3497021af	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);uncultured	1.0
04fb2c90ee1c257d80da164aabcbb9eb	Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella	0.7
0548c6dd086bd76ac153422cd0a862da	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Nevskiaceae;Hydrocarboniphaga	1.0
055cbd929ec62f5e81e49eb3bb92d3bb	Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinocorallia	1.0
056e5e286f98b57e1b8fc1db4d66458a	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter	0.7
05b2bc7e29da5bad90aa608aa0b1684b	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae	1.0
059defeeb545eba125753d6a9040f591	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;uncultured;uncultured_bacterium	0.7
05485e87837a9addd3bbfbf4aeedb346	Bacteria;Proteobacteria;Betaproteobacteria;SC-I-84	0.9
05bca3ba3a3ae69547d39fcb334bfb1c	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Variibacter	0.9
056b146c1a993cf406f790679821c517	Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans;uncultured_bacterium	0.6
05e41b31bd1763cf10ea87f529b3f44c	Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides	1.0
05fc62e8310ace15edcf854f61744088	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	0.9
05e1952104076620fce7a55e8d2201a3	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Ambiguous_taxa	0.7
0608eb8126acddf24dd69b7a12d20345	Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	0.8
0615781011cb8caee7437622954f1bf1	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	1.0
05df50dd661c11a9025732d69b2ed75b	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae;Phaselicystis	1.0
063f610215bc69ba77ec83e79fd5e241	Bacteria;Chloroflexi;KD4-96;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium;uncultured_bacterium	1.0
