ID	Sample	Accession	Treatment	Accession_Treatment	Location
CM-5_000000000-C9YP3	CM-5	Col-0	Mock	Col-0_Mock	MPIPZ
CM-6_000000000-C9YP3	CM-6	Col-0	Mock	Col-0_Mock	MPIPZ
CM-7_000000000-C9YP3	CM-7	Col-0	Mock	Col-0_Mock	MPIPZ
CM-8_000000000-C9YP3	CM-8	Col-0	Mock	Col-0_Mock	MPIPZ
CN-1_000000000-C9YP3	CN-1	Col-0	Noco2	Col-0_Noco2	MPIPZ
CN-2_000000000-C9YP3	CN-2	Col-0	Noco2	Col-0_Noco2	MPIPZ
CN-3_000000000-C9YP3	CN-3	Col-0	Noco2	Col-0_Noco2	MPIPZ
CN-4_000000000-C9YP3	CN-4	Col-0	Noco2	Col-0_Noco2	MPIPZ
CN-5_000000000-C9YP3	CN-5	Col-0	Noco2	Col-0_Noco2	MPIPZ
CN-6_000000000-C9YP3	CN-6	Col-0	Noco2	Col-0_Noco2	MPIPZ
CN-7_000000000-C9YP3	CN-7	Col-0	Noco2	Col-0_Noco2	MPIPZ
CN-8_000000000-C9YP3	CN-8	Col-0	Noco2	Col-0_Noco2	MPIPZ
LC-1_000000000-C9YP3	LC-1	Ler	Cala2	Ler_Cala2	MPIPZ
LC-2_000000000-C9YP3	LC-2	Ler	Cala2	Ler_Cala2	MPIPZ
LC-3_000000000-C9YP3	LC-3	Ler	Cala2	Ler_Cala2	MPIPZ
LC-4_000000000-C9YP3	LC-4	Ler	Cala2	Ler_Cala2	MPIPZ
LC-5_000000000-C9YP3	LC-5	Ler	Cala2	Ler_Cala2	MPIPZ
LC-6_000000000-C9YP3	LC-6	Ler	Cala2	Ler_Cala2	MPIPZ
LC-7_000000000-C9YP3	LC-7	Ler	Cala2	Ler_Cala2	MPIPZ
LC-8_000000000-C9YP3	LC-8	Ler	Cala2	Ler_Cala2	MPIPZ
LM-1_000000000-C9YP3	LM-1	Ler	Mock	Ler_Mock	MPIPZ
LM-2_000000000-C9YP3	LM-2	Ler	Mock	Ler_Mock	MPIPZ
LM-3_000000000-C9YP3	LM-3	Ler	Mock	Ler_Mock	MPIPZ
LM-4_000000000-C9YP3	LM-4	Ler	Mock	Ler_Mock	MPIPZ
LM-5_000000000-C9YP3	LM-5	Ler	Mock	Ler_Mock	MPIPZ
LM-6_000000000-C9YP3	LM-6	Ler	Mock	Ler_Mock	MPIPZ
LM-7_000000000-C9YP3	LM-7	Ler	Mock	Ler_Mock	MPIPZ
LM-8_000000000-C9YP3	LM-8	Ler	Mock	Ler_Mock	MPIPZ
LN-1_000000000-C9YP3	LN-1	Ler	Noco2	Ler_Noco2	MPIPZ
LN-2_000000000-C9YP3	LN-2	Ler	Noco2	Ler_Noco2	MPIPZ
LN-3_000000000-C9YP3	LN-3	Ler	Noco2	Ler_Noco2	MPIPZ
LN-4_000000000-C9YP3	LN-4	Ler	Noco2	Ler_Noco2	MPIPZ
LN-5_000000000-C9YP3	LN-5	Ler	Noco2	Ler_Noco2	MPIPZ
LN-6_000000000-C9YP3	LN-6	Ler	Noco2	Ler_Noco2	MPIPZ
LN-7_000000000-C9YP3	LN-7	Ler	Noco2	Ler_Noco2	MPIPZ
LN-8_000000000-C9YP3	LN-8	Ler	Noco2	Ler_Noco2	MPIPZ
